CONTRACTOR COMPARISON & BID TRACKER — LICENSE & INSURANCE VERIFICATION,,,,,,,,,,,,,,,,,
"Tab 4 of 7 | Verify every contractor's credentials before signing | Never skip this step",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
VERIFICATION TRACKER — Enter Y or N in verified columns | Dates format: MM/DD/YYYY,,,,,,,,,,,,,,,,,
#,Company Name,License #,License State,License Expiry,License Verified (Y/N),GL Policy #,GL Carrier,GL Expiry,GL Verified (Y/N),Workers Comp (Y/N),WC Policy #,WC Carrier,WC Expiry,WC Verified (Y/N),Bonded (Y/N),Bond Amount ($),Fully Verified
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
COLUMN GUIDE,,,,,,,,,,,,,,,,,
Column,Description,What to check,,,,,,,,,,,,,
A — #,Contractor number 1–10,"Match to Bid Comparison tab",,,,,,,,,,,,,
B — Company Name,Legal business name as it appears on license,"Must match exactly",,,,,,,,,,,,,
C — License #,Contractor license number,"Verify at your state's licensing board website",,,,,,,,,,,,,
D — License State,State that issued the license,"Must be the state where work is being performed",,,,,,,,,,,,,
E — License Expiry,Date the license expires (MM/DD/YYYY),"Must be valid through project completion",,,,,,,,,,,,,
F — License Verified,Did you confirm the license is active? (Y/N),"Call the licensing board or check online",,,,,,,,,,,,,
G — GL Policy #,General Liability insurance policy number,"Request Certificate of Insurance (COI)",,,,,,,,,,,,,
H — GL Carrier,Name of the insurance company,"Verify the carrier is legitimate",,,,,,,,,,,,,
I — GL Expiry,GL policy expiration date,"Must cover the full project timeline",,,,,,,,,,,,,
J — GL Verified,Did you verify GL insurance is active? (Y/N),"Call the insurance carrier to confirm",,,,,,,,,,,,,
K — Workers Comp,Does the contractor carry Workers Comp? (Y/N),"Required if contractor has employees",,,,,,,,,,,,,
L — WC Policy #,Workers Comp policy number,"Get from their COI",,,,,,,,,,,,,
M — WC Carrier,Workers Comp insurance company,"Verify carrier is legitimate",,,,,,,,,,,,,
N — WC Expiry,WC policy expiration date,"Must cover project timeline",,,,,,,,,,,,,
O — WC Verified,Did you verify WC is active? (Y/N),"Call carrier or check online",,,,,,,,,,,,,
P — Bonded,Is the contractor bonded? (Y/N),"Recommended for projects over $5k",,,,,,,,,,,,,
Q — Bond Amount ($),Dollar amount of the surety bond,"Should cover at least the project cost",,,,,,,,,,,,,
R — Fully Verified,Auto-calculated: are license + GL + WC all verified? (see formula),"All three Y = FULLY VERIFIED",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MINIMUM VERIFICATION CHECKLIST — Do this for every contractor you seriously consider,,,,,,,,,,,,,,,,,
Step,Action,Resource,,,,,,,,,,,,,
1,"Verify license is active","Search your state contractor licensing board online",,,,,,,,,,,,,
2,"Request a Certificate of Insurance (COI)","Ask contractor to have their insurer send COI directly to you",,,,,,,,,,,,,
3,"Call the GL insurance carrier","Confirm policy is active and contractor is a named insured",,,,,,,,,,,,,
4,"Confirm Workers Comp","Ask if they have employees; if yes, verify WC coverage",,,,,,,,,,,,,
5,"Check for complaints","Search BBB, Google Reviews, Yelp, and local court records",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FORMULA REFERENCE — Copy formulas below and paste into the matching column cells (rows 2–11),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Formula,Description,Paste into column,,,,,,,,,,,,,
"=IF(E2="""","""",IF(E2<TODAY(),""EXPIRED"",IF(E2<TODAY()+90,""EXPIRING"",""VALID"")))","License expiry status — flags 90 days out","Add a helper column after License Verified (col F area)",,,,,,,,,,,,,
"=IF(I2="""","""",IF(I2<TODAY(),""EXPIRED"",IF(I2<TODAY()+90,""EXPIRING"",""VALID"")))","GL insurance expiry status","Add a helper column after GL Verified (col J area)",,,,,,,,,,,,,
"=IF(AND(F2=""Y"",J2=""Y"",O2=""Y""),""FULLY VERIFIED"",""INCOMPLETE"")","Fully verified = License + GL + WC all confirmed","Column R (Fully Verified) — paste in R2 then copy to R3:R11",,,,,,,,,,,,,
